Cup,Duration,Date,Mid-Date,Julian Day,Mid-Julian,tot_mass_flux,org_c_flux,caco3_flux,opal_flux,terr_flux,nitro_flux
1,7,2021-12-07,2021-12-10,5090,5093.5,261.257,7.366,33.192,16.989,192.661,1.01
2,7,2021-12-14,2021-12-17,5097,5100.5,867.543,17.287,89.946,48.022,686.357,2.318
3,14,2021-12-21,2021-12-28,5104,5111,496.571,13.053,59.007,35.782,369.149,1.742
4,14,2022-01-04,2022-01-11,5118,5125,319.886,11.103,44.149,31.348,216.63,1.59
5,14,2022-01-18,2022-01-25,5132,5139,165.314,6.674,67.531,27.078,54.02,0.891
6,14,2022-02-01,2022-02-08,5146,5153,78.171,2.195,57.456,4.204,11.024,0.332
7,14,2022-02-15,2022-02-22,5160,5167,105.429,3.511,59.883,19.08,17.687,0.513
8,14,2022-03-01,2022-03-08,5174,5181,16,0.441,11.792,0.44,2.666,0.068
9,14,2022-03-15,2022-03-22,5188,5195,58.286,2.887,24.509,7.86,18.7,0.4
10,14,2022-03-29,2022-04-05,5202,5209,1029.943,41.051,110.204,149.848,667.263,5.854
11,14,2022-04-12,2022-04-19,5216,5223,148.8,7.249,49.679,25.872,55.126,0.972
12,14,2022-04-26,2022-05-03,5230,5237,93.429,2.815,30.895,6.777,48.719,0.397
13,14,2022-05-10,2022-05-17,5244,5251,16,0.438,3.792,NA,NA,0.057
1,7,2022-05-17,2022-05-20,5090,5093.5,18.286,NA,NA,NA,NA,NA
2,7,2022-05-31,2022-06-03,5097,5100.5,54.857,4.522,17.581,NA,NA,0.557
3,14,2022-06-14,2022-06-21,5104,5111,125.143,9.078,40.24,10.977,51.232,1.506
4,14,2022-06-28,2022-07-05,5118,5125,32,6.549,9.56,1.785,4.283,1.368
5,14,2022-07-12,2022-07-19,5132,5139,447.429,24.634,62.24,48.219,275.384,3.19
6,14,2022-07-26,2022-08-02,5146,5153,366.857,16.39,57.724,36.041,232.119,2.192
7,14,2022-08-09,2022-08-16,5160,5167,293.714,16.639,51.403,32.412,168.301,1.944
8,14,2022-08-23,2022-08-30,5174,5181,274.286,9.58,46.76,28.941,174.633,1.269
9,14,2022-09-06,2022-09-13,5188,5195,70.857,4.859,15.461,13.679,29.568,0.699
10,14,2022-09-20,2022-09-27,5202,5209,50.857,2.197,12.424,5.902,27.04,0.295
11,14,2022-10-04,2022-10-11,5216,5223,49.143,3.426,17.834,7.523,15.221,0.45
12,14,2022-10-18,2022-10-25,5230,5237,86.857,5.437,24.803,11.438,37.023,0.798
13,14,2022-11-08,2022-11-15,5244,5251,86.857,5.477,37.331,12.761,23.073,0.83
1,14,2022-12-01,2022-12-08,5449,5456,77.143,2.53,14.763,4.092,51.963,0.35
