year	month	day	date_vector	class	probability
2021	11	15	2021.87158469945	15	0.919029282199012
2021	12	15	2021.95355191257	15	0.855706498736427
2022	1	15	2022.04098360656	15	0.804627364590054
2022	2	15	2022.12568306011	15	0.793329502855028
2022	3	15	2022.20218579235	15	0.953735713775341
2022	4	15	2022.2868852459	13	0.847356761495272
2022	5	15	2022.36885245902	21	0.952861899421329
2022	6	15	2022.45355191257	15	0.854847346742948
2022	7	15	2022.53551912568	20	0.840906210243702
2022	8	15	2022.62021857923	15	0.924945626188727
2022	9	15	2022.70491803279	15	0.988617508184342
2022	10	15	2022.7868852459	15	0.999403683912186
2022	11	15	2022.87158469945	15	0.90189064116705
2022	12	15	2022.95355191257	15	0.931325512272971
2023	1	15	2023.04098360656	15	0.927437489941007
2023	2	15	2023.12568306011	15	0.845997913887626
2023	3	15	2023.20218579235	15	0.998606236208053
2023	4	15	2023.2868852459	15	0.869656141315188
2023	5	15	2023.36885245902	15	0.840967819094658
2023	6	15	2023.45355191257	15	0.957755029201508
2023	7	15	2023.53551912568	15	0.959944995966825
2023	8	15	2023.62021857923	15	0.844854425638914
2023	9	15	2023.70491803279	11	0.765830131677481
2023	10	15	2023.7868852459	15	0.618374168872833
2023	11	15	2023.87158469945	3	0.823608286678791
2023	12	15	2023.95355191257	15	0.995352603140331
2024	1	15	2024.04098360656	15	0.994976634070987
2024	2	15	2024.12568306011	21	0.846921006838481
2024	3	15	2024.20491803279	15	0.770825065099276
2024	4	15	2024.28961748634	15	0.866969722509384
2024	5	15	2024.37158469945	15	0.997347684133621
2024	6	15	2024.45628415301	21	0.963364022619584
2024	7	15	2024.53825136612	11	0.948632879389657
2024	8	15	2024.62295081967	15	0.853572701153002
2024	9	15	2024.70765027322	11	0.878555514595725
2024	10	15	2024.78961748634	3	0.829083373913398
