SBB 46-top,,,,,Total,,,,Terrig,
,,,,,Mass Flux,Carbon Flux,CaCO3 Flux,OPAL Flux,Flux,Nitro Flux
Cup,Duration,Date,Julian Day,Mid-Julian,(g/m2/day),(gC/m2/day), (g/m2/day),(g/m2/day),(g/m2/day),(g/m2/day)
1,13,5/11/2017,8896,8902.5,2.031,0.077,0.153,0.618,1.068,0.010
2,13,5/24/2017,8909,8915.5,2.665,0.153,0.214,1.303,0.764,0.022
3,13,6/6/2017,8922,8928.5,0.794,0.038,0.063,0.258,0.379,0.005
4,13,6/19/2017,8935,8941.5,1.489,0.072,0.104,0.360,0.845,0.010
5,13,7/2/2017,8948,8954.5,1.538,0.083,0.192,0.454,0.686,0.010
6,13,7/15/2017,8961,8967.5,0.338,0.018,0.026,0.076,0.192,0.002
7,13,7/28/2017,8974,8980.5,0.720,0.050,0.042,0.183,0.371,0.007
8,13,8/10/2017,8987,8993.5,0.572,0.037,0.067,0.098,0.315,0.005
9,13,8/23/2017,9000,9006.5,0.935,0.057,0.417,0.147,0.229,0.007
10,13,9/5/2017,9013,9019.5,0.548,0.031,0.168,0.090,0.212,0.004
11,13,9/18/2017,9026,9032.5,1.520,0.089,0.106,0.330,0.861,0.011
12,13,10/1/2017,9039,9045.5,1.815,0.092,0.126,0.248,1.211,0.011
13,11,10/14/2017,9052,9057.5,1.898,0.103,0.133,0.195,1.314,0.012
